Vecka,Måndag,,,Tisdag,,,Onsdag,,,Torsdag,,,Fredag,,,Lördag,,,Söndag,,,Övrig info & event,,Kurser       Lindy /Jazz,Tid och datum,Intresserade ledare,Kommentar,,
,Datum,kl. 18.00 - 20.00,kl. 20.00 -,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.30 - 20.00,kl. 20.00 - ,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  *  = kan flyttas till lilla salen vid behov (om det är mindre antal anmälda och någon annan dans har fler anmälda) - Schemamöte mellan salerna 17 juni,,,,,,,,,,,,,,,,,,,,,,,Schemamöte + lindyledarutveckling tisdag 26 nov kl. 20.00 (deadline kursadmin 13 dec).,,,,,
,De lagda kurserna är endast förslag - kan flyttas runt vid behov (så länge inte alla FKA hamnar på samma veckodag t.ex.) både gällande vardagar och helg. T.ex. kan medel-kurserna också ges en helg istället för vardagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,04 nov. ,GK 2,Socialdans,05 nov.,FKA 2,M 3 *,06 nov.,M 2 *,FKB 2,07 nov.,LFT till 19:30,GK2 (19.30-21.30),08 nov.,,,09 nov.,FKB 2 (kl. 10-15),DP-kväll,10 nov.,DP-städ,FKB 2 (kl. 14-19),Dukes,,M 3 - tema *,tis (sen) v.42-26 (eller helg?),behövs förare och följare,Koreografi & Jam,, Musik & Jazz 
46,11 nov. ,GK 2,Socialdans,12 nov.,FKA 2,M 3 *,13 nov.,FKA 3,MA 2 *,14 nov.,LFT,M 4 *,15 nov.,SAW,SAW,16 nov.,GK 3,Solo GK,17 nov.,GK 3,Solo GK,,,M 4 - Tema *,tors (sen) v. 46-50 ,David + Therese + Hanna ,"Back 2 Basic - alternativt flytta fram en vecka så kan Hanna hela, från v. 47",, Back to basics 
47,18 nov.,GK 3,Socialdans,19 nov.,FKB 3,,20 nov.,FKA 3,MA 2 *,21 nov.,LFT,M 4 *,22 nov.,Uthyrd Svenska rytmsektionen,,23 nov.,Uthyrd Svenska rytmsektionen,,24 nov.,Uthyrd Svenska rytmsektionen,,,,MA 1 *,tis v.37-41 sen tid,Delad kurs 5 par ,"1. Mina+David, 2. Sebbe+Maja, 3. Tove+Duncan, 4. Oscar+Linnea, 5. Anne+ Maria",, Momentum & Dansa tillsammans
48,25 nov.,GK 3,Socialdans,26 nov.,FKB 3,Schemamöte+Utveckling,27 nov.,FKA 3,MA 2 *,28 nov.,LFT,M 4 *,29 nov.,SAW,SAW,30 nov.,A,FKA 3,01 dec.,A,FKA 3,,,MA 2 *,ons (sen) v.46-50 ,Maja+Sebbe,,,
49,02 dec.,GK 3,Socialdans,03 dec.,FKB 3,,04 dec.,FKA 3,MA 2 *,05 dec.,LFT,M 4 *,06 dec.,,,07 dec.,FKB 3,,08 dec.,FKB 3,,,,A,Helg vecka 48 (tidig),Simon+Pauline,,,
50,09 dec.,GK 3,Socialdans,10 dec.,FKB 3,,11 dec.,FKA 3,MA 2 *,12 dec.,LFT,M 4 *,13 dec.,SAW,SAW,14 dec.,,Julfest,15 dec.,Julfest,,Julfest,,Solo GK,Helg v. 46 (sen),Pauline och Sofie. A,,,
51,16 dec.,GK 3,Socialdans,17 dec.,FKB 3,,18 dec.,,,19 dec.,LFT,,20 dec.,,,21 dec.,,,22 dec.,,,,,Solo FK/M,Helg vecka 37 (tidig),Kristin ,,,
52,23 dec.,x,Socialdans,24 dec.,x,x,25 dec.,x,x,26 dec.,,x,27 dec.,x,x,28 dec.,x,x,29 dec.,x,x,,,Shim Sham?,Önskvärt - två fredagar?,Duncan (it only needs one session!),Skriv in i dokument för fredagstaster,,
,,,,,,,,,,,,,,,,,,,,,,,,SAW,Varannan fredag,,Skriv in i dokument för fredagstaster,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,   Önske-kurser utöver basutbudet - HT24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stora salen period 1 - VT25                                                          Stora salen period 1 - VT25                                                                Stora salen period 1 - VT25                                                       Stora salen period 1 - VT25  ,,,,,,,,,,,,,,,,,,,,,,,Lindy / Jazz kurser - VT25,,,,Course Description Complete?,
1,30 dec. ,x,Socialdans,31 dec.,x,x,01 jan.,x,x,02 jan.,x,x,03 jan.,x,x,04 jan.,x,x,05 jan.,x,x,,,GK 1,Mon V4-8 + w/e V4,Kate & Linnea (Sofie & Lina will help),ELEF,Y,
2,06 jan. ,x,Socialdans,07 jan.,x,x,08 jan.,ÖH?,ÖH?,09 jan.,x,x,10 jan.,x,x,11 jan.,ÖH?,ÖH?,12 jan.,Lindyledarkurs,Lottning + antagning,,,GK 2,Mon V9-13 + w/e V8,Lou & Hanna ,ELEF,Y,
3,13 jan. ,x,Socialdans,14 jan.,x,x,15 jan.,FKA 1,,16 jan.,LFT,M 1  - M&J,17 jan.,Musicality,Workshop,18 jan.,Natalia,Balboa,19 jan.,Lindy,Solo Jazz,Musicality Workshop,,GK 3,Mon V15- 20 + w/e V14,Pär & Lou,,Y,
4,20 jan. ,GK 1,Socialdans,21 jan.,FKB 1,Lindyledarkurs,22 jan.,FKA 1,,23 jan.,LFT,M 1  - M&J,24 jan.,,,25 jan.,,GK 1,26 jan.,,GK 1,,,GK 4,Mon V20- 24 + w/e V19,Lina & Robin,,,
5,27 jan. ,GK 1,Socialdans,28 jan.,FKB 1,Lindyledarkurs,29 jan.,FKA 1,,30 jan.,LFT,M 1  - M&J,31 jan.,SAW,SAW,01 feb.,FKB 1,FKA 1,02 feb.,FKB 1,FKA 1,placeholder fest på kvällen,,FKA 1,Wed V3 - 7 + w/e V5,Sebbe + Partner,,Y,
6,03 feb. ,GK 1,Socialdans,04 feb.,FKB 1,Lindyledarkurs,05 feb.,FKA 1,,06 feb.,LFT,M 1  - M&J,07 feb.,,,08 feb.,,,09 feb.,,,,,FKA 2,Tue V9 - 13 + w/e V11,"Hanna, Åsa, Pär, Linnea, Lina",,Y,
